binary,given_name,surname,date_of_birth,phone_number,email,address,city,state,zipcode,duplicate_2,random label num 3,multicollinearity 1,constant_1,correlated w target 2,semi_constant_1,constant_2,corr_feature_class,uniform corr 2,duplicate_1,pd qcut1,correlated w target 1,outliers 1,random choice 4,informative_2,random choice 2,outliers 2,target,min max scaling,semi_constant_2,pd qcut3,random choice 7,random label num 11,informative_1,uniform corr 1,pd qcut2,multicollinearity 3,standard scaling,multicollinearity 4,multicollinearity 2,class
binary_2,Troy,Allen,1996-08-01,974-794-0969x179,idillon@example.net,,,,,-0.6638599972813359,,-0.7185647448660656,constant_value,1.12312316305316,q_const_0,constant_value,7.100009647546376,0.6722751305915171,-0.9991017824896424,Low,,2.5890525817706984,South,-0.6638599972813359,Rand Choice 1,4.463798571989695,-0.9042236742875387,423.8948880066389,q_const_0,,Sunday,label num hi 10,-0.9991017824896424,0.35339738339865046,,-0.3087600026357092,,-0.27619598155075664,-0.36923879210480104,1
,,Fischer,2017-09-18,+1-758-724-2680,johnsmith@example.org,,,,,1.153596854135379,,-2.2558637268525117,constant_value,,q_const_0,constant_value,,0.27962425527300805,1.2466861830450993,High,2.759549051446808,4.066693171034944,West,1.153596854135379,Rand Choice 1,5.696884433039204,2.324369783092482,294.23338896909877,q_const_0,G5,Thursday,label num hi 2,1.2466861830450993,0.8002216292286684,Q3,-0.27677286263984907,,0.1547505548472309,-1.0746808546166864,1
binary_1,Shelley,Russell,1914-12-29,+1-226-526-4206x24792,gentrylaura@example.net,3920 Simmons Village Apt. 675,Johnfurt,CA,94315,0.8593974662590766,,0.2530202568356582,constant_value,,q_const_0,constant_value,3.7660248647926986,0.7671362093034927,0.9627768269601935,High,,-1.0640136414978918,South,0.8593974662590766,Rand Choice 1,1.49619559204036,1.7782165547025084,268.56609409705334,q_const_0,G5,Wednesday,label num hi 7,0.9627768269601935,0.7607375715990914,,-0.5425145027040619,61925.6958238888,-0.2714260796668728,0.35058651180418565,1
binary_2,,Conrad,1955-08-15,835.630.0141x7025,reeddeborah@example.org,320 Oneal Common,Williamchester,NJ,64638,2.0336452879154674,label num lo 3,-1.3403454539532507,constant_value,,q_const_0,constant_value,,0.8464465640095108,-2.9574409509433037,High,,-0.5904608860560449,South,2.0336452879154674,Rand Choice 1,1.35099045790647,5.451234575139656,,q_const_0,G6,Thursday,label num hi 1,-2.9574409509433037,0.5974393550545509,Q4,0.11013461433845116,51333.37052101469,0.43360872932533434,,1
binary_2,,,2001-10-24,458.266.1388,travis85@example.net,511 Charles View Apt. 670,,ND,64272,1.05944863351561,,0.8489658105230695,constant_value,2.8843856438786593,q_const_0,constant_value,1.946956098484227,0.6368568525987174,1.1411652716579705,High,,-0.3731136168060411,North,1.05944863351561,Rand Choice 1,0.9576509734713397,2.1539258469951807,345.7456682201935,q_const_0,G5,Tuesday,label num hi 10,1.1411652716579705,0.8375108471676516,Q3,-1.0508374920431467,53993.540300321176,-1.585646970494436,0.4065024011504071,1
binary_1,Charlotte,Flores,1966-02-17,894-799-1201x07103,ramirezmarie@example.com,174 Palmer Fords Suite 986,East Dakota,MI,45605,2.399635889224372,,0.7083700399221544,constant_value,,q_const_0,constant_value,,0.6507583244504499,2.485477863898728,High,,,West,2.399635889224372,Rand Choice 2,4.177897977802453,4.626787069235546,407.09542421736364,q_const_0,G6,Friday,label num hi 11,2.485477863898728,0.6533190743862001,Q4,0.9933301079999173,33371.759384210476,1.0423192179833618,0.7077297126076293,1
binary_1,,,1967-05-27,001-888-898-2881,chad17@example.net,16734 Tammy Shoals Suite 112,North Lisa,WY,,-0.747560845179044,label num lo 1,-0.10089954100047395,constant_value,0.46957617623667414,q_const_0,constant_value,-6.60506610611737,0.5917480261622527,-0.6479636736717482,Low,-2.2123563902169856,0.49751833755250763,North,-0.747560845179044,Rand Choice 1,0.44391060860787146,-1.187224231921867,288.1920439816122,q_const_0,G3,Tuesday,label num hi 3,-0.6479636736717482,0.32374071862464104,,0.15344876965601495,50483.99820374795,0.9733171582335353,-0.3382181250803106,0
binary_2,,Schwartz,1952-10-05,(474)795-5103x8252,cynthiagalloway@example.net,,,,,-0.8182224427035356,label num lo 3,0.6765826051101606,constant_value,,q_const_0,constant_value,,0.24692394233442966,-0.8922328125534437,Low,0.8461332779119302,,West,-0.8182224427035356,Rand Choice 1,,-1.266374292198878,364.79444960741426,q_const_0,G3,Friday,label num hi 1,-0.8922328125534437,0.1963568341257459,Q2,-0.8847511396655566,46464.61595710174,-0.8033257406808071,-0.8905779104631278,0
binary_2,,Smith,1976-07-15,434.414.3051x4692,kathleen20@example.com,769 Lee Heights Suite 410,Thompsonchester,KY,30409,-0.09154666780661158,label num lo 2,0.08710850326914218,constant_value,4.043927344793103,q_const_0,constant_value,1.6554711349219204,0.28223070070206935,-0.7273359834485558,High,2.5003027381218463,,,-0.09154666780661158,Rand Choice 1,,0.24111056261580832,,q_const_0,G4,Wednesday,,-0.7273359834485558,,Q3,0.381115056271666,,0.9234698845991879,-0.9046120381910018,0
binary_2,,Shelton,1958-11-08,001-217-284-4583x4339,collin74@example.net,04762 Tom Creek,New Robinbury,DE,19445,-1.8069333466532713,label num lo 1,1.3641883638700636,constant_value,-1.1274721046170066,q_const_0,constant_value,,0.6019586407848248,0.9753643211025785,Low,1.6890154271133848,,,-1.8069333466532713,Rand Choice 1,,-3.935564389564147,190.31180448873522,q_const_0,G1,Wednesday,,0.9753643211025785,0.023274418821721987,Q1,0.5737022658571935,,0.8165584366766346,0.9210613769788295,0
,,,1981-02-04,+1-742-699-0234x3247,donaldadams@example.net,,Davidstad,NC,14051,0.6640066001907508,label num lo 3,1.2808043088198007,constant_value,1.0273105812540837,q_const_0,constant_value,6.9750296065764426,0.6670617723782433,0.5210909070320509,High,,0.28269979182417027,,0.6640066001907508,Rand Choice 1,6.660891812635894,1.4902846231827178,248.15848524873752,q_const_0,G5,Tuesday,label num hi 11,0.5210909070320509,0.9233319742917396,Q3,,53712.36261470315,-0.4052478133441437,0.37691595074257705,1
binary_2,Jeffrey,,1982-06-27,(928)892-7186,parkerhebert@example.net,4059 Marcus Place Apt. 948,East Catherinetown,WY,,1.0453063757400651,label num lo 3,-0.812550616036922,constant_value,4.241851835157121,q_const_0_1,constant_value,5.299831492649869,0.9207591185494919,1.298410809303382,High,1.4562511417178023,-2.0845688014225336,,1.0453063757400651,Rand Choice 1,2.251163290657349,2.077177886048961,,q_const_0,G5,Saturday,label num hi 7,1.298410809303382,0.4308080426492116,,-0.5866612090238923,37028.77268191875,-0.5524489209564608,-0.8257887341045843,1
